PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000129946.6.SHC2.wgt.RDat	SHC2	19	416583	460996	0.353	rs8105822	 4.02	rs11666069	 0.22133	-4.79	 2.134	317	 1	top1	0.22	9e-07	-2.1340	0.03284
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000099866.10.MADCAM1.wgt.RDat	MADCAM1	19	489176	505347	0.455	rs8105822	 4.02	rs758502	 0.14063	-4.83	 1.877	349	 7	lasso	0.16	4.7e-05	-1.5177	0.12910
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000065268.6.WDR18.wgt.RDat	WDR18	19	983174	994569	0.378	rs8105822	 4.02	rs2285899	 0.22430	 4.92	 0.529	428	 1	top1	0.22	7.5e-07	 0.5290	0.59681
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000115255.6.REEP6.wgt.RDat	REEP6	19	1491165	1497926	0.577	rs3760994	-3.15	rs2277748	 0.23299	-4.87	-0.499	370	 1	top1	0.23	4.4e-07	 0.4990	0.61778
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000104899.4.AMH.wgt.RDat	AMH	19	2249308	2252072	0.473	rs2270048	-3.67	rs7249235	 0.17548	-4.80	-1.136	382	 1	top1	0.18	1.4e-05	 1.1360	0.25596
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000261342.1.AC006538.1.wgt.RDat	AC006538.1	19	2727741	2729325	0.488	rs2270048	-3.67	rs8105402	 0.08041	 4.03	 0.128	409	12	lasso	0.13	0.00019	 1.0492	0.29409
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000060558.3.GNA15.wgt.RDat	GNA15	19	3136191	3163767	0.406	rs10401784	-4.53	rs310678	 0.03717	 4.33	 0.908	399	 6	lasso	0.063	0.0083	-0.7890	0.43010
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000105248.11.CCDC94.wgt.RDat	CCDC94	19	4247076	4269087	0.353	rs350841	-3.40	rs11671900	 0.14158	 4.25	 0.613	350	 6	lasso	0.16	3e-05	 0.0951	0.92420
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000267980.1.AC007292.6.wgt.RDat	AC007292.6	19	4363786	4364637	0.333	rs350841	-3.40	rs243338	 0.22803	 4.95	 0.085	343	 1	top1	0.23	5.9e-07	 0.0850	0.93226
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000167670.11.CHAF1A.wgt.RDat	CHAF1A	19	4402659	4443389	0.266	rs350841	-3.40	rs11085074	 0.16428	-4.33	-2.120	361	 1	top1	0.16	2.7e-05	 2.1200	0.03401
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000267769.1.CTB-50L17.9.wgt.RDat	CTB-50L17.9	19	4454011	4455283	0.282	rs350841	-3.40	rs34080966	 0.24626	-5.22	-2.635	356	 2	lasso	0.25	1.7e-07	 2.6559	0.00791
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000233927.4.RPS28.wgt.RDat	RPS28	19	8386384	8386975	0.899	rs483808	-3.38	rs2241589	 0.63070	 7.73	-0.502	331	64	enet	0.66	9.7e-24	-0.1913	0.84826
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000099785.6.MARCH2.wgt.RDat	MARCH2	19	8478154	8503901	0.260	rs11666971	-2.64	rs3815783	 0.19337	-4.49	 2.039	333	 1	top1	0.19	4.9e-06	-2.0390	0.04145
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000174652.13.ZNF266.wgt.RDat	ZNF266	19	9523272	9546254	0.385	rs6511244	-2.62	rs7258744	 0.39021	-7.13	-0.439	388	15	enet	0.48	5.4e-15	 0.4011	0.68831
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000076662.5.ICAM3.wgt.RDat	ICAM3	19	10444452	10450499	0.361	rs1673130	-3.05	rs2278442	 0.26033	 5.57	-2.566	368	 6	lasso	0.34	3.7e-10	-1.5106	0.13090
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000065989.11.PDE4A.wgt.RDat	PDE4A	19	10527449	10580305	0.569	rs1673130	-3.05	rs875569	 0.00092	-3.71	-0.620	370	39	enet	0.096	0.0013	 0.5826	0.56018
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000105607.8.GCDH.wgt.RDat	GCDH	19	13001840	13025021	0.330	rs7255217	-3.04	rs11085824	 0.22980	 5.45	-0.087	324	 4	lasso	0.26	7.7e-08	-0.0523	0.95829
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000267633.1.CTB-5E10.3.wgt.RDat	CTB-5E10.3	19	13882932	13884932	0.311	rs17777900	-3.00	rs371671	 0.19377	-4.63	 0.614	314	 1	top1	0.19	4.8e-06	-0.6140	0.53922
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000130312.2.MRPL34.wgt.RDat	MRPL34	19	17408554	17417652	0.382	rs11673001	-3.10	rs6903	 0.29368	 5.74	 2.010	401	 1	top1	0.29	8.5e-09	 2.0100	0.04443
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000256771.2.ZNF253.wgt.RDat	ZNF253	19	19976695	20005483	0.258	rs1560189	-2.81	rs4389259	 0.10858	-4.18	-0.657	283	 1	top1	0.11	0.00065	 0.6570	0.51118
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000269837.1.RP11-15H20.5.wgt.RDat	RP11-15H20.5	19	23437855	23440741	0.365	rs4932828	 2.20	rs10410090	 0.20750	 4.56	-0.104	242	31	enet	0.28	2.4e-08	 1.3244	0.18538
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000205246.4.RPSAP58.wgt.RDat	RPSAP58	19	23945807	23992317	0.140	rs12973714	-2.52	rs17000660	 0.02346	 3.37	 0.502	239	 1	top1	0.023	0.074	 0.5020	0.61567
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000261770.1.CTC-459F4.1.wgt.RDat	CTC-459F4.1	19	28248092	28251757	0.605	rs2607221	-3.54	rs10401215	 0.51533	 7.24	-1.998	266	10	lasso	0.62	3e-21	-1.9491	0.05129
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000105186.10.ANKRD27.wgt.RDat	ANKRD27	19	33087913	33166105	0.316	rs4805758	-5.19	rs11084655	 0.24582	-5.11	 1.145	416	23	enet	0.28	1.6e-08	-3.2231	0.00127
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000089335.16.ZNF302.wgt.RDat	ZNF302	19	35168552	35177302	0.371	rs1672974	 3.17	rs8106282	 0.13261	-4.04	 0.788	400	 1	top1	0.13	0.00017	-0.7880	0.43070
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000126267.4.COX6B1.wgt.RDat	COX6B1	19	36139125	36149763	0.392	rs10412382	 3.00	rs4806178	-0.00225	-4.11	-0.629	443	28	enet	0.18	1e-05	 1.3665	0.17177
