PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000241525.3.AC108004.3.wgt.RDat	AC108004.3	17	254326	263814	0.547	rs4073769	-3.82	rs11150882	 0.510478	 6.99	 0.842	283	 1	top1	0.51	2.6e-16	 0.842	4.00e-01
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000187624.7.C17orf97.wgt.RDat	C17orf97	17	260118	273510	0.587	rs4073769	-3.82	rs11150882	 0.575705	 7.40	 0.842	285	 1	top1	0.58	3.2e-19	 0.842	4.00e-01
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000141252.15.VPS53.wgt.RDat	VPS53	17	411908	624957	0.312	rs4073769	-3.82	rs2002015	 0.158358	-4.80	 0.131	455	 1	top1	0.16	3.9e-05	-0.131	8.96e-01
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000167193.7.CRK.wgt.RDat	CRK	17	1323983	1366456	0.287	rs7224496	 2.93	rs8072859	 0.013422	 3.73	-1.229	435	 1	top1	0.013	0.13	-1.229	2.19e-01
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000186532.7.SMYD4.wgt.RDat	SMYD4	17	1682779	1733928	0.337	rs4061159	 3.19	rs11062	 0.172939	-4.50	-0.633	442	 4	lasso	0.23	5.3e-07	 0.672	5.01e-01
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000262227.1.RP5-1050D4.5.wgt.RDat	RP5-1050D4.5	17	4891001	4891741	0.305	rs7208257	-3.21	rs8076995	 0.005014	 3.52	-0.604	411	16	enet	0.057	0.011	 1.484	1.38e-01
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000005100.8.DHX33.wgt.RDat	DHX33	17	5344232	5372380	0.416	rs7223417	-3.58	rs1805468	 0.033272	-3.69	-1.534	532	 8	lasso	0.036	0.035	-0.814	4.16e-01
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000161955.12.TNFSF13.wgt.RDat	TNFSF13	17	7461609	7462614	0.281	rs8075218	-3.16	rs9908405	 0.120749	 4.67	 0.711	458	 1	top1	0.12	0.00033	 0.711	4.77e-01
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000198150.2.AC135178.1.wgt.RDat	AC135178.1	17	8261731	8263538	0.264	rs2289590	-3.56	rs8069158	 0.191443	-4.78	-1.452	443	 2	lasso	0.21	1.5e-06	 1.363	1.73e-01
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000187824.4.TMEM220.wgt.RDat	TMEM220	17	10602332	10633633	0.315	rs9914160	-2.76	rs421541	 0.222687	-5.04	-1.135	509	22	enet	0.22	8.2e-07	 0.625	5.32e-01
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000214941.3.ZSWIM7.wgt.RDat	ZSWIM7	17	15879874	15897144	0.159	rs11650427	 3.08	rs10491104	 0.219065	 5.23	-3.026	276	 2	lasso	0.22	7.5e-07	-2.723	6.47e-03
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000166582.5.CENPV.wgt.RDat	CENPV	17	16247911	16256813	0.228	rs11650427	 3.08	rs3112521	 0.241684	 5.03	-1.287	274	 1	top1	0.24	2.5e-07	-1.287	1.98e-01
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000108591.5.DRG2.wgt.RDat	DRG2	17	17991200	18011285	0.338	rs4496218	 3.77	rs2955387	 0.054767	-4.38	-0.878	318	 7	lasso	0.12	0.00027	 0.349	7.27e-01
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000177302.10.TOP3A.wgt.RDat	TOP3A	17	18174742	18218321	0.212	rs8080966	 3.41	rs2473656	 0.126238	 4.08	-1.824	278	 1	top1	0.13	0.00024	-1.824	6.82e-02
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000273018.1.CTD-2303H24.2.wgt.RDat	CTD-2303H24.2	17	18431887	18446301	0.336	rs8080966	 3.41	rs1682280	 0.080843	 4.04	-2.208	275	42	enet	0.15	5.3e-05	-2.161	3.07e-02
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000233098.4.RP11-344E13.3.wgt.RDat	RP11-344E13.3	17	20771746	20905589	0.345	rs1009133	 3.16	rs4985969	 0.340021	-5.95	-0.118	205	 1	top1	0.34	3.4e-10	 0.118	9.06e-01
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000004142.7.POLDIP2.wgt.RDat	POLDIP2	17	26676109	26684545	0.217	rs4796222	 3.36	rs3093680	 0.112129	-4.55	-0.946	253	 4	lasso	0.14	0.00012	 1.461	1.44e-01
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000108587.10.GOSR1.wgt.RDat	GOSR1	17	28804380	28854610	0.196	rs7209032	-3.43	rs3764417	 0.199452	 5.26	-0.220	328	 1	top1	0.2	3.4e-06	-0.220	8.26e-01
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000264538.2.SUZ12P.wgt.RDat	SUZ12P	17	29036317	29117926	0.152	rs7209032	-3.43	rs7503542	 0.162491	-4.52	-2.772	304	 1	top1	0.16	3e-05	 2.772	5.57e-03
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000172171.6.TEFM.wgt.RDat	TEFM	17	29224354	29231547	0.129	rs7209032	-3.43	rs9915139	 0.153498	-4.01	-2.408	272	 1	top1	0.15	5.1e-05	 2.408	1.60e-02
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000185158.8.LRRC37B.wgt.RDat	LRRC37B	17	30334891	30380523	0.136	rs9898619	-2.71	rs506766	 0.058259	 3.81	-0.167	315	 1	top1	0.058	0.011	-0.167	8.67e-01
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000005156.7.LIG3.wgt.RDat	LIG3	17	33307513	33332083	0.363	rs9889895	 3.48	rs10853174	 0.126714	-4.78	-0.403	486	21	enet	0.13	0.00019	-0.309	7.58e-01
